lead_id,customer_id,campaign_id,lead_date,channel,status
4614,2495,5,2024-03-03,Google Ads,Qualified
6813,3826,15,2024-03-03,Google Ads,Lost
4748,2264,39,2024-03-03,官網,Lost
9803,3332,5,2024-03-03,Google Ads,Qualified
5640,3764,39,2024-03-04,官網,New
7352,2065,39,2024-03-04,官網,Qualified
5123,333,13,2024-03-04,電話,Qualified
5593,1034,13,2024-03-05,電話,Qualified
3504,1435,15,2024-03-05,Google Ads,New
751,2169,5,2024-03-06,Google Ads,Converted
6651,3068,38,2024-03-06,Google Ads,New
5816,663,13,2024-03-06,電話,Contacted
6980,3085,39,2024-03-06,官網,Qualified
8792,2361,13,2024-03-06,電話,Contacted
1926,3764,38,2024-03-07,Google Ads,Contacted
11051,422,15,2024-03-07,Google Ads,Contacted
645,3392,5,2024-03-09,Google Ads,New
5828,1440,38,2024-03-09,Google Ads,Contacted
4361,2278,13,2024-03-11,電話,Qualified
2037,2280,5,2024-03-12,Google Ads,New
984,3559,38,2024-03-12,Google Ads,Contacted
11,377,15,2024-03-13,Google Ads,Qualified
6502,2559,38,2024-03-13,Google Ads,Converted
6654,3975,17,2024-03-13,Facebook Ads,New
6242,2944,38,2024-03-13,Google Ads,New
9492,377,39,2024-03-13,官網,Qualified
1521,663,13,2024-03-14,電話,Converted
8999,707,5,2024-03-14,Google Ads,Lost
5586,2723,13,2024-03-14,電話,Qualified
1694,3605,26,2024-03-15,電話,New
6607,3839,5,2024-03-16,Google Ads,Contacted
7397,3355,17,2024-03-17,Facebook Ads,Contacted
10079,2700,13,2024-03-17,電話,Qualified
3873,2774,17,2024-03-17,Facebook Ads,Contacted
2678,506,13,2024-03-17,電話,Qualified
1074,984,15,2024-03-17,Google Ads,Qualified
7301,3151,5,2024-03-18,Google Ads,Converted
6227,387,5,2024-03-18,Google Ads,Converted
6291,847,26,2024-03-18,電話,Qualified
101,2927,15,2024-03-18,Google Ads,Contacted
5011,2368,17,2024-03-18,Facebook Ads,Converted
2061,1391,13,2024-03-19,電話,Qualified
1941,33,13,2024-03-19,電話,Qualified
6217,2001,17,2024-03-19,Facebook Ads,Qualified
6254,2845,15,2024-03-19,Google Ads,Qualified
9731,3664,26,2024-03-20,電話,Qualified
2119,2446,38,2024-03-20,Google Ads,New
2855,2280,38,2024-03-21,Google Ads,Converted
4807,2130,38,2024-03-21,Google Ads,New
3039,3729,13,2024-03-21,電話,Qualified
11462,490,38,2024-03-22,Google Ads,Lost
3234,3237,13,2024-03-22,電話,Lost
5391,3729,26,2024-03-22,電話,Qualified
7194,1619,17,2024-03-22,Facebook Ads,New
9909,3412,17,2024-03-23,Facebook Ads,Converted
4702,1355,38,2024-03-23,Google Ads,Converted
9995,3412,5,2024-03-24,Google Ads,New
9280,490,38,2024-03-24,Google Ads,New
3552,1619,26,2024-03-25,電話,Qualified
11886,3085,5,2024-03-26,Google Ads,Converted
1178,1027,5,2024-03-26,Google Ads,Contacted
11233,2480,5,2024-03-26,Google Ads,Contacted
1101,833,13,2024-03-26,電話,Contacted
10865,2617,38,2024-03-27,Google Ads,Qualified
2019,2911,15,2024-03-27,Google Ads,Qualified
11295,2865,39,2024-03-27,官網,Qualified
7101,2911,15,2024-03-27,Google Ads,Contacted
10800,3163,38,2024-03-27,Google Ads,Qualified
947,3664,26,2024-03-28,電話,Qualified
10563,3262,38,2024-03-28,Google Ads,New
8360,2278,17,2024-03-28,Facebook Ads,Lost
9531,2745,38,2024-03-28,Google Ads,Qualified
11427,1040,38,2024-03-28,Google Ads,New
3108,1321,15,2024-03-28,Google Ads,Contacted
11675,3122,39,2024-03-29,官網,Contacted
10599,2487,38,2024-03-29,Google Ads,Contacted
7584,813,5,2024-03-29,Google Ads,Contacted
10202,3750,17,2024-03-29,Facebook Ads,Converted
9557,453,5,2024-03-29,Google Ads,Qualified
3728,2264,38,2024-03-30,Google Ads,Contacted
11771,1166,15,2024-03-30,Google Ads,Qualified
1191,3214,13,2024-03-30,電話,New
9546,624,5,2024-03-31,Google Ads,Converted
3034,1070,38,2024-03-31,Google Ads,Qualified
6076,2883,39,2024-03-31,官網,Contacted
461,1369,5,2024-03-31,Google Ads,Converted
5133,296,38,2024-03-31,Google Ads,Contacted
5991,455,15,2024-03-31,Google Ads,Contacted
8578,3140,17,2024-03-31,Facebook Ads,Contacted
8872,1619,5,2024-03-31,Google Ads,Contacted
11981,1388,26,2024-03-31,電話,Contacted
5272,588,5,2024-04-01,Google Ads,Converted
1572,3323,17,2024-04-02,Facebook Ads,Lost
6468,3183,38,2024-04-02,Google Ads,Contacted
11654,3839,17,2024-04-02,Facebook Ads,Converted
11772,316,5,2024-04-03,Google Ads,New
8261,3414,38,2024-04-03,Google Ads,Converted
4504,3414,15,2024-04-03,Google Ads,Lost
11810,1015,5,2024-04-04,Google Ads,Contacted
7805,1071,5,2024-04-04,Google Ads,Qualified
5785,709,15,2024-04-04,Google Ads,Converted
2069,2864,17,2024-04-04,Facebook Ads,Lost
9309,1256,17,2024-04-04,Facebook Ads,Qualified
1402,2417,17,2024-04-04,Facebook Ads,Contacted
2479,2700,5,2024-04-05,Google Ads,New
7215,1826,26,2024-04-05,電話,Converted
2343,293,38,2024-04-05,Google Ads,Lost
7,2447,13,2024-04-05,電話,Lost
10487,293,15,2024-04-05,Google Ads,Contacted
9306,2159,26,2024-04-06,電話,Converted
520,375,26,2024-04-06,電話,Lost
7325,2324,13,2024-04-07,電話,Converted
2946,706,5,2024-04-07,Google Ads,Contacted
7142,3963,5,2024-04-07,Google Ads,Converted
4836,1594,38,2024-04-08,Google Ads,Contacted
7283,71,26,2024-04-08,電話,Qualified
6926,265,39,2024-04-08,官網,New
4612,1594,13,2024-04-08,電話,Converted
9592,3421,5,2024-04-09,Google Ads,Qualified
6161,1166,17,2024-04-09,Facebook Ads,New
11002,2886,26,2024-04-10,電話,Lost
4623,1071,26,2024-04-10,電話,Converted
6520,3421,17,2024-04-10,Facebook Ads,Lost
6669,3166,17,2024-04-11,Facebook Ads,Lost
6234,1814,17,2024-04-11,Facebook Ads,Converted
9269,1643,26,2024-04-12,電話,Converted
5685,2375,26,2024-04-12,電話,New
10538,3541,38,2024-04-12,Google Ads,New
7798,85,17,2024-04-12,Facebook Ads,New
4903,2961,5,2024-04-12,Google Ads,Lost
3543,1579,26,2024-04-12,電話,Converted
7496,3621,38,2024-04-13,Google Ads,New
1427,3787,15,2024-04-13,Google Ads,Contacted
10410,3186,17,2024-04-15,Facebook Ads,New
6614,3675,39,2024-04-15,官網,Lost
1796,2550,38,2024-04-15,Google Ads,Lost
2047,2176,13,2024-04-15,電話,Qualified
3162,476,15,2024-04-16,Google Ads,New
5802,64,38,2024-04-16,Google Ads,Converted
8362,1474,5,2024-04-16,Google Ads,Lost
4897,705,26,2024-04-16,電話,Contacted
7107,3795,15,2024-04-16,Google Ads,Lost
9351,1351,5,2024-04-16,Google Ads,Contacted
8240,2440,17,2024-04-17,Facebook Ads,New
7249,1707,17,2024-04-18,Facebook Ads,Contacted
5150,1778,5,2024-04-19,Google Ads,Qualified
5725,2755,5,2024-04-19,Google Ads,Lost
10193,3428,15,2024-04-19,Google Ads,Lost
5729,3428,17,2024-04-19,Facebook Ads,Converted
9510,1592,17,2024-04-19,Facebook Ads,Lost
9017,1977,5,2024-04-20,Google Ads,Lost
4552,1997,15,2024-04-20,Google Ads,Contacted
11712,1997,5,2024-04-20,Google Ads,New
11806,2644,5,2024-04-20,Google Ads,Contacted
2645,1997,39,2024-04-20,官網,Converted
8481,2704,15,2024-04-21,Google Ads,Qualified
10418,2704,38,2024-04-21,Google Ads,Converted
8683,2644,17,2024-04-21,Facebook Ads,Contacted
5283,1086,17,2024-04-21,Facebook Ads,Contacted
11311,2704,5,2024-04-21,Google Ads,New
8971,849,5,2024-04-21,Google Ads,Qualified
8865,849,15,2024-04-21,Google Ads,New
10431,3374,17,2024-04-21,Facebook Ads,New
1647,179,5,2024-04-21,Google Ads,Qualified
4872,1378,5,2024-04-21,Google Ads,Converted
4400,1964,5,2024-04-21,Google Ads,Converted
5806,1378,38,2024-04-21,Google Ads,Contacted
2116,1200,17,2024-04-22,Facebook Ads,Contacted
2995,2579,5,2024-04-22,Google Ads,Contacted
11762,2579,5,2024-04-22,Google Ads,Qualified
9749,241,39,2024-04-22,官網,Converted
6763,705,17,2024-04-22,Facebook Ads,Lost
3225,1360,17,2024-04-23,Facebook Ads,Converted
5800,1245,17,2024-04-24,Facebook Ads,Lost
10459,99,15,2024-04-24,Google Ads,New
473,1316,39,2024-04-25,官網,Converted
6872,1316,38,2024-04-25,Google Ads,Qualified
1265,1301,15,2024-04-25,Google Ads,Contacted
4418,2424,15,2024-04-26,Google Ads,Converted
11901,3873,13,2024-04-26,電話,Qualified
5519,2424,5,2024-04-26,Google Ads,Converted
9046,2424,15,2024-04-26,Google Ads,Converted
5708,3908,5,2024-04-27,Google Ads,New
11991,3908,38,2024-04-27,Google Ads,Lost
1800,450,15,2024-04-27,Google Ads,New
6069,3185,5,2024-04-28,Google Ads,New
6898,1900,15,2024-04-29,Google Ads,Contacted
8809,3551,39,2024-04-29,官網,Contacted
2703,290,5,2024-04-30,Google Ads,Converted
4119,3715,26,2024-05-01,電話,Converted
4868,2236,26,2024-05-03,電話,Converted
1697,247,15,2024-05-03,Google Ads,Converted
2940,247,39,2024-05-03,官網,Converted
5655,3274,5,2024-05-04,Google Ads,Qualified
10896,3274,17,2024-05-04,Facebook Ads,Contacted
3690,1032,15,2024-05-05,Google Ads,Converted
300,1768,38,2024-05-05,Google Ads,New
998,2942,26,2024-05-05,電話,Converted
8614,1768,5,2024-05-05,Google Ads,Converted
6836,1631,17,2024-05-07,Facebook Ads,Contacted
7557,1540,22,2024-05-08,Google Ads,Contacted
5717,2717,22,2024-05-08,Google Ads,New
7738,3880,22,2024-05-08,Google Ads,Qualified
9609,640,22,2024-05-08,Google Ads,Qualified
4601,811,22,2024-05-08,Google Ads,Contacted
7705,28,39,2024-05-08,官網,New
562,3239,22,2024-05-09,Google Ads,Contacted
2050,1050,38,2024-05-09,Google Ads,Qualified
10353,2673,5,2024-05-09,Google Ads,New
939,3776,5,2024-05-09,Google Ads,Converted
3424,3776,39,2024-05-09,官網,Contacted
8126,4,15,2024-05-10,Google Ads,Converted
3471,4,15,2024-05-10,Google Ads,Converted
1369,3833,22,2024-05-10,Google Ads,New
593,453,22,2024-05-10,Google Ads,Contacted
903,1155,22,2024-05-11,Google Ads,Qualified
8964,3278,15,2024-05-11,Google Ads,Qualified
9176,2723,22,2024-05-11,Google Ads,Contacted
3095,1432,22,2024-05-12,Google Ads,Qualified
5721,3662,5,2024-05-12,Google Ads,Lost
3123,2729,13,2024-05-12,電話,Contacted
11727,1194,22,2024-05-12,Google Ads,Lost
5894,3822,22,2024-05-12,Google Ads,New
10806,2729,38,2024-05-12,Google Ads,Qualified
11467,2729,5,2024-05-12,Google Ads,Lost
4592,3389,22,2024-05-12,Google Ads,Qualified
6799,1449,38,2024-05-12,Google Ads,Qualified
6338,3572,22,2024-05-13,Google Ads,New
2527,2432,22,2024-05-13,Google Ads,Converted
5605,721,39,2024-05-14,官網,Contacted
8222,377,22,2024-05-14,Google Ads,Qualified
5195,1754,22,2024-05-14,Google Ads,Lost
6948,3908,40,2024-05-14,Facebook Ads,Contacted
6803,3321,40,2024-05-14,Facebook Ads,Contacted
3223,1026,38,2024-05-15,Google Ads,Contacted
6868,1032,22,2024-05-15,Google Ads,Lost
8273,1026,38,2024-05-15,Google Ads,Converted
8010,2203,39,2024-05-15,官網,Qualified
1537,2495,22,2024-05-15,Google Ads,Contacted
69,2203,38,2024-05-15,Google Ads,New
8992,1441,22,2024-05-16,Google Ads,Contacted
690,969,22,2024-05-16,Google Ads,Contacted
7887,112,22,2024-05-16,Google Ads,Converted
5572,41,13,2024-05-17,電話,Qualified
9316,41,38,2024-05-17,Google Ads,Contacted
3230,472,40,2024-05-17,Facebook Ads,Lost
5634,3930,22,2024-05-17,Google Ads,New
3526,3698,26,2024-05-17,電話,Contacted
3122,3265,27,2024-05-18,Google Ads,Lost
10421,1887,22,2024-05-18,Google Ads,Qualified
2448,2795,22,2024-05-18,Google Ads,Contacted
2447,1888,27,2024-05-18,Google Ads,Lost
3577,450,22,2024-05-18,Google Ads,New
7418,605,22,2024-05-18,Google Ads,Converted
11566,3793,27,2024-05-18,Google Ads,Contacted
310,1743,27,2024-05-18,Google Ads,Converted
6613,3889,27,2024-05-18,Google Ads,Contacted
1536,51,5,2024-05-19,Google Ads,New
3083,2704,22,2024-05-19,Google Ads,Contacted
4210,3992,13,2024-05-19,電話,Qualified
2238,2942,22,2024-05-19,Google Ads,Converted
9336,2343,22,2024-05-20,Google Ads,Lost
4543,1762,40,2024-05-20,Facebook Ads,Lost
11379,2145,40,2024-05-20,Facebook Ads,Converted
58,3414,22,2024-05-20,Google Ads,New
2613,1146,27,2024-05-21,Google Ads,Contacted
4978,1070,22,2024-05-21,Google Ads,Qualified
3213,847,22,2024-05-21,Google Ads,Qualified
8985,1635,15,2024-05-21,Google Ads,Qualified
10225,1953,15,2024-05-21,Google Ads,Contacted
683,1953,17,2024-05-21,Facebook Ads,Lost
1898,2446,22,2024-05-21,Google Ads,New
2451,2854,27,2024-05-22,Google Ads,Contacted
9067,4,27,2024-05-22,Google Ads,Qualified
7070,179,22,2024-05-22,Google Ads,Contacted
6314,1256,27,2024-05-22,Google Ads,Qualified
2139,1026,22,2024-05-22,Google Ads,New
4713,3839,27,2024-05-22,Google Ads,Lost
4132,28,40,2024-05-22,Facebook Ads,Converted
5027,2461,27,2024-05-23,Google Ads,New
4975,1523,27,2024-05-23,Google Ads,Lost
3172,1462,27,2024-05-23,Google Ads,Converted
3443,385,22,2024-05-23,Google Ads,Lost
7755,357,27,2024-05-23,Google Ads,New
4926,3237,27,2024-05-23,Google Ads,Qualified
3622,2096,40,2024-05-23,Facebook Ads,Qualified
8843,71,27,2024-05-23,Google Ads,Contacted
1424,3786,26,2024-05-23,電話,Converted
4650,916,17,2024-05-23,Facebook Ads,Contacted
1370,2576,40,2024-05-23,Facebook Ads,Converted
5535,916,17,2024-05-23,Facebook Ads,Contacted
6578,3310,27,2024-05-24,Google Ads,New
2824,3355,40,2024-05-24,Facebook Ads,Converted
7017,761,40,2024-05-24,Facebook Ads,Qualified
1097,2850,40,2024-05-24,Facebook Ads,Lost
1837,2508,5,2024-05-24,Google Ads,Qualified
6456,932,22,2024-05-24,Google Ads,Qualified
11304,2664,5,2024-05-24,Google Ads,Lost
2113,1278,22,2024-05-24,Google Ads,Lost
3348,2664,22,2024-05-24,Google Ads,Qualified
4884,624,22,2024-05-25,Google Ads,New
7810,2474,15,2024-05-25,Google Ads,Qualified
4131,811,27,2024-05-25,Google Ads,Qualified
4473,2383,22,2024-05-25,Google Ads,Contacted
6846,2417,22,2024-05-25,Google Ads,Converted
7926,3280,27,2024-05-25,Google Ads,Contacted
8932,2946,40,2024-05-25,Facebook Ads,Contacted
9541,3412,22,2024-05-26,Google Ads,Qualified
2331,2732,27,2024-05-26,Google Ads,Qualified
8306,3087,22,2024-05-26,Google Ads,Qualified
11980,2432,27,2024-05-27,Google Ads,Qualified
4022,33,40,2024-05-27,Facebook Ads,Contacted
5453,2236,40,2024-05-27,Facebook Ads,Contacted
2786,3899,27,2024-05-27,Google Ads,New
9654,455,40,2024-05-27,Facebook Ads,Contacted
4016,879,27,2024-05-27,Google Ads,Converted
3830,3784,40,2024-05-28,Facebook Ads,Contacted
72,1051,22,2024-05-28,Google Ads,Contacted
5773,2508,27,2024-05-28,Google Ads,Qualified
622,3429,22,2024-05-28,Google Ads,Converted
5414,1994,39,2024-05-28,官網,Contacted
11964,404,22,2024-05-28,Google Ads,Contacted
4078,2270,27,2024-05-28,Google Ads,Lost
7303,3414,27,2024-05-28,Google Ads,Lost
11613,3057,22,2024-05-29,Google Ads,Contacted
9107,1252,26,2024-05-29,電話,Contacted
936,3195,27,2024-05-29,Google Ads,Lost
3470,3057,17,2024-05-29,Facebook Ads,Contacted
4058,1836,39,2024-05-29,官網,New
1888,1027,27,2024-05-30,Google Ads,Contacted
694,2145,27,2024-05-30,Google Ads,Qualified
2039,588,40,2024-05-30,Facebook Ads,Lost
6441,3997,27,2024-05-30,Google Ads,Contacted
3625,3951,27,2024-05-30,Google Ads,Contacted
5487,1040,40,2024-05-31,Facebook Ads,Converted
4099,3564,27,2024-05-31,Google Ads,New
2797,1551,38,2024-05-31,Google Ads,Qualified
5452,333,40,2024-05-31,Facebook Ads,Lost
11281,3989,27,2024-05-31,Google Ads,Contacted
598,1551,17,2024-05-31,Facebook Ads,Lost
10387,3719,5,2024-06-01,Google Ads,Contacted
9910,3719,15,2024-06-01,Google Ads,Contacted
2729,3212,27,2024-06-01,Google Ads,Qualified
1119,1544,27,2024-06-01,Google Ads,Qualified
11769,2315,15,2024-06-01,Google Ads,Qualified
9407,2493,40,2024-06-01,Facebook Ads,Converted
9456,3429,27,2024-06-02,Google Ads,Lost
8574,2882,27,2024-06-02,Google Ads,Lost
1413,3564,27,2024-06-02,Google Ads,Converted
3805,3467,27,2024-06-03,Google Ads,Contacted
3090,2883,27,2024-06-03,Google Ads,Contacted
927,2845,27,2024-06-03,Google Ads,Contacted
3930,3711,5,2024-06-03,Google Ads,Contacted
4087,2449,5,2024-06-03,Google Ads,Converted
6864,3979,38,2024-06-03,Google Ads,Contacted
3378,2148,22,2024-06-04,Google Ads,Lost
6084,605,27,2024-06-04,Google Ads,New
8949,455,27,2024-06-04,Google Ads,Qualified
7098,1829,39,2024-06-04,官網,Contacted
9028,3552,5,2024-06-04,Google Ads,Qualified
7222,3355,27,2024-06-04,Google Ads,Lost
11749,721,27,2024-06-04,Google Ads,Contacted
2004,2604,27,2024-06-04,Google Ads,Qualified
9513,155,38,2024-06-04,Google Ads,Lost
3387,3374,27,2024-06-04,Google Ads,Qualified
3420,1450,15,2024-06-05,Google Ads,Contacted
11829,2442,17,2024-06-05,Facebook Ads,Lost
941,2447,27,2024-06-05,Google Ads,New
1753,2442,15,2024-06-05,Google Ads,Qualified
6796,476,14,2024-06-05,Google Ads,Contacted
2898,3310,14,2024-06-06,Google Ads,Converted
11261,3164,27,2024-06-06,Google Ads,Contacted
11282,2449,27,2024-06-06,Google Ads,New
2040,2495,27,2024-06-06,Google Ads,Qualified
8076,1762,27,2024-06-07,Google Ads,Converted
8392,3618,38,2024-06-07,Google Ads,Qualified
1290,3618,38,2024-06-07,Google Ads,Contacted
11101,3629,27,2024-06-07,Google Ads,Contacted
1856,3302,27,2024-06-07,Google Ads,Converted
7400,668,27,2024-06-07,Google Ads,Lost
11948,350,27,2024-06-07,Google Ads,Qualified
174,149,40,2024-06-07,Facebook Ads,Contacted
5767,2159,27,2024-06-07,Google Ads,Contacted
10107,455,27,2024-06-07,Google Ads,Lost
7213,849,27,2024-06-07,Google Ads,Converted
1597,1030,27,2024-06-07,Google Ads,Converted
4105,3392,14,2024-06-07,Google Ads,Converted
7967,2096,27,2024-06-08,Google Ads,Contacted
5614,2333,27,2024-06-08,Google Ads,Qualified
7179,393,22,2024-06-08,Google Ads,Qualified
7278,3513,38,2024-06-08,Google Ads,Qualified
959,3513,17,2024-06-08,Facebook Ads,Qualified
2733,393,13,2024-06-08,電話,Lost
3215,2864,40,2024-06-08,Facebook Ads,Qualified
5082,441,5,2024-06-08,Google Ads,Converted
4508,495,15,2024-06-08,Google Ads,Contacted
3975,2012,27,2024-06-08,Google Ads,Converted
7207,3832,27,2024-06-09,Google Ads,Contacted
7514,2456,5,2024-06-09,Google Ads,Qualified
6700,2864,14,2024-06-09,Google Ads,Contacted
5704,1829,27,2024-06-09,Google Ads,Converted
10383,2391,27,2024-06-09,Google Ads,Qualified
1170,3664,14,2024-06-09,Google Ads,New
8961,3521,27,2024-06-09,Google Ads,Qualified
2481,1822,27,2024-06-10,Google Ads,Contacted
7689,1540,14,2024-06-10,Google Ads,New
3025,1822,13,2024-06-10,電話,Lost
1033,350,40,2024-06-10,Facebook Ads,Qualified
1435,3859,26,2024-06-10,電話,Contacted
7902,2850,40,2024-06-10,Facebook Ads,New
6981,3234,22,2024-06-10,Google Ads,Converted
10594,140,27,2024-06-10,Google Ads,Qualified
6712,721,40,2024-06-11,Facebook Ads,Qualified
10690,686,27,2024-06-11,Google Ads,New
3627,2213,15,2024-06-12,Google Ads,Converted
2427,1326,5,2024-06-12,Google Ads,New
3383,2213,15,2024-06-12,Google Ads,New
4136,1206,15,2024-06-13,Google Ads,Qualified
4056,680,15,2024-06-13,Google Ads,Contacted
3641,1570,40,2024-06-13,Facebook Ads,Converted
9177,1544,40,2024-06-13,Facebook Ads,Qualified
6065,2368,40,2024-06-13,Facebook Ads,Lost
5576,1206,5,2024-06-13,Google Ads,Qualified
6130,2818,14,2024-06-14,Google Ads,Qualified
8632,3429,40,2024-06-14,Facebook Ads,Converted
9668,1888,40,2024-06-14,Facebook Ads,New
7811,2474,40,2024-06-15,Facebook Ads,New
8712,1378,14,2024-06-15,Google Ads,New
8880,3321,40,2024-06-15,Facebook Ads,Contacted
5672,3106,14,2024-06-15,Google Ads,Contacted
4365,155,40,2024-06-15,Facebook Ads,New
4822,2205,14,2024-06-15,Google Ads,New
2434,1147,14,2024-06-15,Google Ads,Qualified
4600,1824,27,2024-06-15,Google Ads,Contacted
4873,19,22,2024-06-16,Google Ads,Lost
3597,3479,40,2024-06-16,Facebook Ads,Converted
6887,821,22,2024-06-16,Google Ads,Qualified
237,3195,14,2024-06-16,Google Ads,New
9788,2507,22,2024-06-16,Google Ads,Lost
1735,19,5,2024-06-16,Google Ads,Contacted
9574,3637,39,2024-06-17,官網,Converted
2026,2194,27,2024-06-17,Google Ads,New
2575,2946,40,2024-06-17,Facebook Ads,Contacted
7518,3835,40,2024-06-17,Facebook Ads,Contacted
7443,1424,5,2024-06-18,Google Ads,Lost
5653,1424,22,2024-06-18,Google Ads,Contacted
9213,1004,13,2024-06-18,電話,Contacted
10855,1818,14,2024-06-18,Google Ads,Contacted
73,1004,15,2024-06-18,Google Ads,Lost
2982,614,40,2024-06-19,Facebook Ads,New
1017,3767,22,2024-06-19,Google Ads,Qualified
6165,3767,27,2024-06-19,Google Ads,Converted
3054,1180,14,2024-06-20,Google Ads,Converted
10224,527,27,2024-06-20,Google Ads,Qualified
2181,3214,14,2024-06-20,Google Ads,Lost
2693,527,15,2024-06-20,Google Ads,Qualified
2567,624,40,2024-06-20,Facebook Ads,New
1744,2683,15,2024-06-21,Google Ads,Converted
4794,3782,14,2024-06-21,Google Ads,Qualified
9418,2102,27,2024-06-21,Google Ads,New
3718,3002,38,2024-06-21,Google Ads,Contacted
1577,2102,15,2024-06-21,Google Ads,Lost
9612,2448,27,2024-06-21,Google Ads,Converted
6992,658,40,2024-06-21,Facebook Ads,New
4458,3002,26,2024-06-21,電話,Contacted
4129,149,14,2024-06-21,Google Ads,Converted
5728,2102,38,2024-06-21,Google Ads,Converted
10017,2300,15,2024-06-22,Google Ads,Lost
3519,412,38,2024-06-22,Google Ads,Lost
11308,2452,26,2024-06-22,電話,Converted
6396,2246,14,2024-06-23,Google Ads,New
10152,3462,40,2024-06-24,Facebook Ads,New
6682,2194,40,2024-06-24,Facebook Ads,New
1722,463,5,2024-06-24,Google Ads,Contacted
4966,3070,40,2024-06-24,Facebook Ads,Converted
467,3374,14,2024-06-24,Google Ads,Lost
2227,840,14,2024-06-24,Google Ads,New
11703,2762,5,2024-06-24,Google Ads,Contacted
2901,1840,5,2024-06-25,Google Ads,Qualified
4420,1433,17,2024-06-25,Facebook Ads,Contacted
5977,1624,39,2024-06-25,官網,New
11682,701,40,2024-06-26,Facebook Ads,Contacted
5700,1388,14,2024-06-26,Google Ads,Converted
8177,1523,40,2024-06-26,Facebook Ads,Lost
6913,3350,22,2024-06-27,Google Ads,New
6832,685,38,2024-06-27,Google Ads,New
10310,527,14,2024-06-27,Google Ads,New
152,1624,40,2024-06-27,Facebook Ads,Qualified
704,3360,5,2024-06-27,Google Ads,Qualified
11137,2280,14,2024-06-27,Google Ads,New
8622,3360,22,2024-06-27,Google Ads,Qualified
11996,685,15,2024-06-27,Google Ads,Qualified
1050,685,15,2024-06-27,Google Ads,New
6173,3486,13,2024-06-28,電話,Lost
6128,2554,14,2024-06-28,Google Ads,New
2869,1432,14,2024-06-29,Google Ads,Qualified
11851,1814,14,2024-06-30,Google Ads,Contacted
8505,577,17,2024-06-30,Facebook Ads,Contacted
1652,897,14,2024-06-30,Google Ads,Qualified
5362,1391,40,2024-06-30,Facebook Ads,Converted
11612,3310,40,2024-07-01,Facebook Ads,New
6719,57,40,2024-07-01,Facebook Ads,Qualified
10559,682,14,2024-07-01,Google Ads,Contacted
6901,3348,40,2024-07-01,Facebook Ads,Lost
11599,3397,40,2024-07-02,Facebook Ads,New
10318,504,40,2024-07-02,Facebook Ads,Qualified
7032,1274,14,2024-07-02,Google Ads,Converted
6584,1490,38,2024-07-02,Google Ads,Contacted
2304,2092,14,2024-07-03,Google Ads,Lost
