machine_id,model,purchase_date,purchase_cost,status
104,CareAir CA-5,2026-01-14,18026,Available
105,HomeCare HC-5,2022-06-22,17744,Available
106,OxygenPro OX-5,2023-10-15,27093,Rented
107,OxygenPro OX-10,2024-01-24,40977,Available
108,CareAir CA-10,2025-05-28,35231,Rented
109,OxygenPro OX-5,2026-07-20,18009,Available
110,OxygenPro OX-5,2024-12-17,18260,Available
111,OxygenPro OX-10,2026-08-11,34038,Rented
112,OxygenPro OX-5,2023-04-21,27865,Available
113,HomeCare HC-5,2023-04-01,16219,Rented
114,HomeCare HC-5,2024-04-08,21041,Maintenance
115,CareAir CA-5,2024-06-13,18060,Rented
116,HomeCare HC-5,2025-10-16,19287,Rented
117,HomeCare HC-5,2024-10-21,15619,Available
118,OxygenPro OX-5,2023-01-22,26512,Available
119,HomeCare HC-5,2022-12-14,15342,Rented
120,CareAir CA-5,2022-07-09,18832,Retired
121,HomeCare HC-5,2023-05-20,16824,Rented
122,HomeCare HC-5,2025-04-29,15994,Rented
123,OxygenPro OX-10,2026-03-12,39150,Retired
124,OxygenPro OX-5,2025-10-24,21490,Maintenance
125,OxygenPro OX-5,2025-12-03,27310,Rented
126,OxygenPro OX-10,2024-04-03,35984,Retired
127,HomeCare HC-5,2024-07-17,15604,Retired
128,HomeCare HC-5,2024-07-22,14235,Rented
129,OxygenPro OX-5,2025-02-14,19908,Available
130,CareAir CA-5,2022-05-14,24567,Retired
131,OxygenPro OX-10,2022-02-27,31530,Retired
132,OxygenPro OX-5,2026-04-29,23256,Available
133,OxygenPro OX-5,2023-11-16,20635,Rented
134,OxygenPro OX-10,2023-11-03,36162,Retired
135,HomeCare HC-5,2022-06-22,16560,Retired
136,OxygenPro OX-10,2024-03-25,33415,Rented
137,CareAir CA-5,2025-03-18,19391,Available
138,CareAir CA-10,2022-03-21,36157,Rented
139,OxygenPro OX-10,2024-06-04,39835,Rented
140,HomeCare HC-5,2025-05-21,19951,Available
141,HomeCare HC-5,2022-07-22,19468,Rented
142,OxygenPro OX-10,2024-02-03,36007,Retired
143,CareAir CA-5,2025-06-06,25064,Maintenance
144,OxygenPro OX-10,2026-08-27,37444,Rented
145,OxygenPro OX-10,2025-06-04,34413,Rented
146,OxygenPro OX-5,2026-08-10,24941,Rented
147,CareAir CA-5,2026-04-05,25506,Available
148,CareAir CA-5,2026-01-04,20820,Maintenance
149,OxygenPro OX-5,2025-11-26,20898,Maintenance
150,OxygenPro OX-10,2022-02-16,35546,Rented
151,HomeCare HC-5,2025-06-10,14077,Available
152,OxygenPro OX-5,2025-08-21,25577,Rented
153,OxygenPro OX-5,2026-03-30,22227,Available
154,CareAir CA-5,2025-03-12,16600,Maintenance
155,HomeCare HC-5,2025-12-09,15065,Available
156,OxygenPro OX-5,2026-03-17,20136,Available
157,CareAir CA-10,2025-10-28,35641,Retired
158,CareAir CA-10,2026-05-09,35535,Rented
159,OxygenPro OX-5,2025-07-06,27510,Available
160,CareAir CA-10,2023-10-18,37903,Available
161,OxygenPro OX-10,2023-04-16,39789,Available
162,CareAir CA-5,2024-08-28,22943,Rented
163,CareAir CA-5,2024-11-01,23804,Retired
164,CareAir CA-5,2025-09-15,22565,Available
165,OxygenPro OX-5,2024-01-06,23984,Maintenance
166,HomeCare HC-5,2024-02-23,19142,Retired
167,OxygenPro OX-10,2024-08-25,32670,Available
168,OxygenPro OX-5,2022-12-24,20190,Rented
169,OxygenPro OX-5,2024-08-29,27184,Retired
170,CareAir CA-5,2025-12-02,18712,Rented
171,CareAir CA-10,2023-10-30,27192,Rented
172,OxygenPro OX-5,2023-01-08,19248,Maintenance
173,CareAir CA-5,2024-10-28,20033,Rented
174,OxygenPro OX-5,2025-02-19,19997,Maintenance
175,CareAir CA-5,2025-10-03,19687,Available
176,OxygenPro OX-5,2023-11-07,22018,Available
177,CareAir CA-10,2022-03-31,36302,Available
178,OxygenPro OX-10,2026-07-30,29970,Retired
179,HomeCare HC-5,2023-11-29,22389,Maintenance
180,OxygenPro OX-5,2025-09-01,23765,Available
181,OxygenPro OX-10,2025-04-16,38818,Maintenance
182,OxygenPro OX-5,2023-06-24,19202,Rented
183,HomeCare HC-5,2024-01-02,22135,Maintenance
184,HomeCare HC-5,2024-05-18,19567,Available
185,OxygenPro OX-10,2022-02-10,35667,Available
186,CareAir CA-10,2024-01-10,30742,Retired
187,HomeCare HC-5,2026-09-24,19788,Available
188,CareAir CA-5,2023-05-17,21408,Maintenance
189,CareAir CA-5,2024-08-16,24669,Available
190,OxygenPro OX-5,2025-03-14,27446,Available
191,OxygenPro OX-5,2025-05-09,18922,Available
192,HomeCare HC-5,2024-07-17,14419,Available
193,HomeCare HC-5,2026-10-14,16204,Rented
194,CareAir CA-5,2023-04-06,17120,Rented
195,OxygenPro OX-10,2024-01-02,39260,Available
196,OxygenPro OX-10,2024-01-22,28950,Maintenance
197,CareAir CA-10,2024-07-13,27336,Available
198,HomeCare HC-5,2024-06-27,19373,Available
199,HomeCare HC-5,2026-05-01,16243,Available
200,CareAir CA-10,2026-04-20,27645,Rented
201,CareAir CA-5,2025-06-30,20612,Maintenance
202,OxygenPro OX-5,2023-01-25,19865,Available
203,OxygenPro OX-5,2026-06-06,24028,Maintenance
204,HomeCare HC-5,2024-06-01,21326,Maintenance
205,CareAir CA-5,2022-09-13,22371,Maintenance
206,OxygenPro OX-5,2023-12-10,24359,Available
207,OxygenPro OX-5,2023-03-26,25863,Maintenance
208,CareAir CA-10,2022-01-10,28228,Available
209,OxygenPro OX-5,2024-04-03,21719,Available
210,OxygenPro OX-5,2024-03-08,20371,Maintenance
211,CareAir CA-5,2025-06-19,18891,Retired
212,CareAir CA-10,2025-06-28,28756,Rented
213,CareAir CA-10,2024-05-26,29225,Rented
214,OxygenPro OX-5,2024-10-25,18094,Rented
215,CareAir CA-10,2025-02-16,27674,Rented
216,OxygenPro OX-5,2024-10-12,24898,Rented
217,OxygenPro OX-10,2026-12-30,38147,Available
218,CareAir CA-10,2023-01-09,25793,Rented
219,CareAir CA-5,2024-12-24,18116,Maintenance
220,HomeCare HC-5,2022-05-26,19779,Available
221,CareAir CA-10,2022-08-12,37298,Rented
222,CareAir CA-5,2025-06-16,22166,Retired
223,OxygenPro OX-5,2022-06-26,18814,Retired
224,OxygenPro OX-10,2026-12-08,28345,Rented
225,OxygenPro OX-10,2024-05-02,38541,Maintenance
226,OxygenPro OX-5,2025-07-29,26554,Available
227,HomeCare HC-5,2022-03-04,16443,Maintenance
228,OxygenPro OX-10,2025-05-25,38457,Available
229,HomeCare HC-5,2024-04-06,21783,Available
230,CareAir CA-5,2024-03-05,16984,Maintenance
231,CareAir CA-10,2023-11-20,32790,Available
232,CareAir CA-5,2026-01-24,25831,Rented
233,CareAir CA-5,2026-06-22,16827,Retired
234,CareAir CA-5,2022-04-15,19531,Retired
235,OxygenPro OX-5,2025-01-27,25147,Maintenance
236,CareAir CA-10,2023-05-26,29451,Rented
237,OxygenPro OX-10,2023-01-20,41635,Maintenance
238,OxygenPro OX-5,2023-02-09,21876,Available
239,CareAir CA-5,2024-04-02,21959,Maintenance
240,OxygenPro OX-5,2023-06-02,18126,Rented
241,HomeCare HC-5,2023-04-21,17177,Rented
242,HomeCare HC-5,2023-12-10,22795,Available
243,HomeCare HC-5,2026-07-27,20024,Available
244,OxygenPro OX-10,2024-02-10,33109,Available
245,OxygenPro OX-5,2025-12-31,22146,Rented
246,HomeCare HC-5,2024-11-12,21196,Rented
247,OxygenPro OX-10,2024-09-23,39725,Available
248,HomeCare HC-5,2026-05-08,17368,Maintenance
249,HomeCare HC-5,2023-11-08,17797,Retired
250,HomeCare HC-5,2023-12-15,15792,Available
251,OxygenPro OX-10,2026-01-21,39053,Rented
252,OxygenPro OX-10,2022-03-24,33732,Rented
253,HomeCare HC-5,2025-03-14,17476,Rented
254,OxygenPro OX-10,2025-01-13,31417,Available
255,OxygenPro OX-5,2025-01-06,19645,Rented
256,CareAir CA-5,2023-04-02,25397,Available
257,HomeCare HC-5,2022-01-01,17030,Rented
258,CareAir CA-10,2022-02-20,27872,Rented
259,CareAir CA-5,2023-11-16,19072,Available
260,OxygenPro OX-5,2023-12-18,19854,Maintenance
261,CareAir CA-5,2026-12-01,20021,Rented
262,HomeCare HC-5,2026-01-09,18662,Retired
263,OxygenPro OX-5,2023-03-25,24514,Maintenance
264,CareAir CA-5,2024-05-30,21031,Maintenance
265,HomeCare HC-5,2023-05-03,16708,Retired
266,CareAir CA-10,2026-12-29,36694,Rented
267,CareAir CA-10,2022-02-03,32112,Available
268,CareAir CA-10,2025-10-03,34524,Available
269,OxygenPro OX-10,2022-04-05,36393,Available
270,OxygenPro OX-10,2024-12-31,31507,Rented
271,HomeCare HC-5,2026-04-24,20456,Available
272,HomeCare HC-5,2022-06-03,18212,Maintenance
273,HomeCare HC-5,2022-09-07,21970,Available
274,HomeCare HC-5,2023-11-05,22766,Retired
275,CareAir CA-5,2023-03-14,16536,Retired
276,CareAir CA-5,2022-04-28,17625,Rented
277,CareAir CA-10,2024-02-10,35314,Retired
278,CareAir CA-5,2025-08-22,23973,Available
279,CareAir CA-10,2022-09-25,33577,Retired
280,CareAir CA-10,2024-12-13,33070,Available
281,HomeCare HC-5,2022-08-24,22666,Retired
282,OxygenPro OX-10,2023-01-24,36609,Retired
283,OxygenPro OX-10,2024-09-16,34490,Rented
284,OxygenPro OX-5,2026-10-24,21600,Rented
285,CareAir CA-5,2024-02-02,22783,Rented
286,OxygenPro OX-5,2023-02-05,27146,Retired
287,CareAir CA-5,2023-09-16,20971,Maintenance
288,CareAir CA-5,2024-02-06,17205,Maintenance
289,OxygenPro OX-10,2025-08-19,40951,Rented
290,CareAir CA-5,2024-07-07,17990,Rented
291,OxygenPro OX-5,2025-05-15,23299,Rented
292,OxygenPro OX-5,2025-06-06,21572,Rented
293,HomeCare HC-5,2024-05-02,19975,Rented
294,OxygenPro OX-10,2023-08-01,41472,Rented
295,OxygenPro OX-5,2022-03-16,24320,Available
296,CareAir CA-5,2023-03-11,20380,Maintenance
297,CareAir CA-10,2022-04-13,37350,Maintenance
298,OxygenPro OX-5,2025-12-16,22757,Rented
299,CareAir CA-5,2026-09-24,18713,Rented
300,OxygenPro OX-5,2024-02-03,23588,Available
301,OxygenPro OX-5,2024-01-08,18966,Rented
302,CareAir CA-5,2024-03-16,20944,Rented
303,CareAir CA-5,2025-08-22,19432,Maintenance
304,CareAir CA-5,2022-04-08,16688,Available
305,CareAir CA-10,2024-03-08,29243,Available
306,HomeCare HC-5,2025-09-20,17701,Available
307,CareAir CA-5,2024-05-08,24533,Rented
308,OxygenPro OX-10,2023-03-11,33182,Rented
309,CareAir CA-10,2023-03-23,34916,Available
310,OxygenPro OX-10,2025-08-24,41671,Rented
311,OxygenPro OX-10,2022-09-06,34704,Rented
312,OxygenPro OX-5,2022-06-15,22422,Retired
313,OxygenPro OX-5,2026-02-13,27984,Available
314,HomeCare HC-5,2024-09-10,15759,Retired
315,HomeCare HC-5,2025-09-20,16482,Rented
316,CareAir CA-10,2024-10-16,33058,Maintenance
317,OxygenPro OX-10,2023-06-26,28951,Maintenance
318,OxygenPro OX-5,2024-01-29,26914,Maintenance
319,OxygenPro OX-5,2025-02-03,20079,Rented
320,OxygenPro OX-10,2026-05-06,30717,Rented
321,CareAir CA-5,2022-03-22,20524,Rented
322,CareAir CA-10,2022-05-13,34692,Rented
323,CareAir CA-10,2024-03-07,33477,Rented
324,OxygenPro OX-10,2024-06-18,35311,Rented
325,HomeCare HC-5,2022-05-18,21186,Maintenance
326,CareAir CA-10,2022-07-03,27065,Rented
327,CareAir CA-5,2025-11-25,16768,Rented
328,CareAir CA-5,2025-09-15,21490,Rented
329,OxygenPro OX-10,2024-02-24,39249,Rented
330,OxygenPro OX-5,2026-03-12,24645,Maintenance
331,OxygenPro OX-10,2024-09-10,33083,Available
332,CareAir CA-10,2022-03-10,30232,Rented
333,OxygenPro OX-5,2023-06-30,23797,Maintenance
334,OxygenPro OX-5,2026-12-03,27138,Rented
335,OxygenPro OX-5,2022-02-22,22926,Rented
336,OxygenPro OX-5,2026-01-13,24016,Available
337,HomeCare HC-5,2022-07-24,17335,Available
338,CareAir CA-10,2022-05-06,37342,Rented
339,CareAir CA-5,2026-11-06,24038,Rented
340,OxygenPro OX-5,2022-02-12,22873,Available
341,CareAir CA-5,2026-11-11,17481,Rented
342,CareAir CA-5,2022-04-21,22305,Rented
343,OxygenPro OX-5,2024-01-31,21451,Maintenance
344,OxygenPro OX-10,2026-08-14,40256,Available
345,OxygenPro OX-10,2025-04-21,28054,Rented
346,CareAir CA-5,2024-04-27,23643,Rented
347,CareAir CA-5,2022-04-05,19462,Available
348,OxygenPro OX-5,2025-10-29,18832,Available
349,OxygenPro OX-10,2026-03-24,40600,Maintenance
350,CareAir CA-5,2024-06-18,21954,Rented
351,CareAir CA-5,2022-12-26,24519,Rented
352,HomeCare HC-5,2024-06-18,21221,Rented
353,CareAir CA-10,2026-09-16,28310,Available
354,OxygenPro OX-5,2022-10-08,21300,Rented
355,OxygenPro OX-5,2025-05-03,24722,Retired
356,CareAir CA-5,2025-05-03,23218,Available
357,OxygenPro OX-5,2023-10-29,25776,Rented
358,CareAir CA-5,2022-04-03,19675,Rented
359,HomeCare HC-5,2023-11-03,17054,Maintenance
360,CareAir CA-5,2022-03-02,23970,Rented
361,OxygenPro OX-10,2023-09-26,30143,Rented
362,CareAir CA-5,2024-12-10,21207,Rented
363,CareAir CA-5,2025-11-27,25503,Available
364,CareAir CA-5,2026-12-18,18538,Retired
365,HomeCare HC-5,2024-10-25,18547,Available
366,OxygenPro OX-10,2026-01-29,33619,Available
367,HomeCare HC-5,2023-08-27,22356,Maintenance
368,HomeCare HC-5,2023-11-13,20612,Available
369,OxygenPro OX-5,2023-06-18,23005,Available
370,OxygenPro OX-5,2025-11-29,18822,Rented
371,OxygenPro OX-5,2024-04-17,18943,Rented
372,OxygenPro OX-5,2026-03-17,24150,Rented
373,OxygenPro OX-5,2023-10-07,22425,Maintenance
374,CareAir CA-10,2022-08-21,33966,Rented
375,OxygenPro OX-5,2023-06-08,20198,Rented
376,OxygenPro OX-10,2022-12-12,39348,Rented
377,HomeCare HC-5,2024-12-05,18242,Available
378,OxygenPro OX-5,2023-06-30,21695,Available
379,HomeCare HC-5,2025-01-06,17452,Available
380,OxygenPro OX-10,2026-10-20,37106,Available
381,OxygenPro OX-5,2025-01-01,19308,Retired
382,CareAir CA-10,2024-03-04,29177,Rented
383,CareAir CA-5,2022-09-06,24705,Available
384,HomeCare HC-5,2022-02-16,20852,Available
385,CareAir CA-10,2025-02-18,31035,Available
386,HomeCare HC-5,2022-08-02,17594,Rented
387,OxygenPro OX-10,2022-08-27,32841,Retired
388,OxygenPro OX-5,2024-12-15,19409,Rented
389,CareAir CA-10,2022-12-16,37994,Available
390,HomeCare HC-5,2022-04-17,18566,Retired
391,HomeCare HC-5,2024-04-10,18491,Maintenance
392,OxygenPro OX-10,2022-02-17,29555,Maintenance
393,OxygenPro OX-10,2026-05-16,28804,Retired
394,CareAir CA-10,2022-12-03,26279,Retired
395,OxygenPro OX-10,2024-11-15,41192,Maintenance
396,HomeCare HC-5,2024-03-14,21083,Rented
397,HomeCare HC-5,2025-07-04,19986,Rented
398,OxygenPro OX-10,2022-01-08,33619,Available
399,CareAir CA-10,2023-09-17,36769,Rented
400,CareAir CA-10,2025-06-30,36093,Maintenance
