maintenance_id,machine_id,maintenance_date,maintenance_type,cost
1078,276,2023-06-17,故障維修,3594
1206,312,2023-06-20,故障維修,4258
895,272,2023-06-27,故障維修,5028
991,321,2023-06-29,清潔消毒,686
1688,205,2023-07-02,零件更換,3685
321,227,2023-07-05,定期保養,513
701,223,2023-07-05,零件更換,3025
1356,351,2023-07-06,零件更換,6339
595,360,2023-07-10,零件更換,4072
1937,118,2023-07-11,故障維修,3765
96,207,2023-07-14,定期保養,796
26,317,2023-07-17,故障維修,4958
1215,282,2023-08-06,定期保養,1040
246,374,2023-08-11,定期保養,837
2489,240,2023-08-11,故障維修,2131
2109,120,2023-08-12,清潔消毒,530
1088,69,2023-08-17,定期保養,1784
857,14,2023-08-18,定期保養,811
1359,120,2023-08-18,零件更換,7145
903,76,2023-08-19,清潔消毒,715
87,296,2023-08-19,故障維修,3112
197,295,2023-08-20,故障維修,3724
531,325,2023-08-22,故障維修,2569
1800,5,2023-08-23,定期保養,889
1860,296,2023-08-23,定期保養,852
2099,321,2023-08-23,故障維修,5810
1254,54,2023-08-23,定期保養,980
122,360,2023-08-27,故障維修,4602
62,119,2023-08-27,故障維修,4639
2355,294,2023-08-29,清潔消毒,1010
2204,16,2023-08-29,故障維修,5993
781,282,2023-08-30,定期保養,1085
2072,218,2023-09-04,故障維修,4552
2386,238,2023-09-07,故障維修,5650
1261,118,2023-09-08,零件更換,3892
1104,374,2023-09-08,定期保養,1327
1131,294,2023-09-09,故障維修,3089
1442,40,2023-09-10,零件更換,6267
2284,18,2023-09-10,性能檢測,1468
2199,227,2023-09-13,定期保養,792
76,296,2023-09-14,定期保養,1598
797,375,2023-09-15,定期保養,1488
718,390,2023-09-15,定期保養,1478
2493,308,2023-09-15,清潔消毒,858
618,120,2023-09-17,清潔消毒,444
325,386,2023-09-17,清潔消毒,471
1857,304,2023-09-18,性能檢測,494
2251,40,2023-09-20,定期保養,1470
608,161,2023-09-24,定期保養,1401
1633,272,2023-09-24,零件更換,2331
2177,121,2023-09-26,零件更換,7396
885,322,2023-09-28,定期保養,1340
708,325,2023-09-29,故障維修,3884
956,168,2023-10-02,故障維修,2044
49,227,2023-10-03,定期保養,1288
1931,238,2023-10-03,故障維修,3400
2178,263,2023-10-04,零件更換,7218
254,138,2023-10-06,定期保養,582
1434,272,2023-10-09,定期保養,739
404,332,2023-10-10,故障維修,5553
290,241,2023-10-12,清潔消毒,664
1738,84,2023-10-13,零件更換,6567
1282,286,2023-10-15,零件更換,7310
592,263,2023-10-16,定期保養,1076
2396,150,2023-10-18,故障維修,4491
1639,398,2023-10-18,定期保養,1638
816,218,2023-10-19,零件更換,3782
308,141,2023-10-21,定期保養,780
949,351,2023-10-24,故障維修,4247
1473,354,2023-10-25,零件更換,3689
2317,120,2023-10-27,定期保養,1630
2201,392,2023-10-27,定期保養,930
890,105,2023-10-28,定期保養,1345
1770,172,2023-10-28,故障維修,5797
547,47,2023-10-30,定期保養,1507
2458,258,2023-10-30,定期保養,699
1124,325,2023-10-31,故障維修,2172
2383,369,2023-11-01,清潔消毒,474
548,273,2023-11-01,性能檢測,1025
2189,317,2023-11-01,故障維修,2468
306,392,2023-11-01,故障維修,2780
1907,387,2023-11-01,定期保養,810
1188,27,2023-11-02,清潔消毒,887
854,361,2023-11-03,零件更換,3724
2492,88,2023-11-04,零件更換,7423
1213,69,2023-11-05,定期保養,586
2497,237,2023-11-07,故障維修,5943
1143,276,2023-11-09,零件更換,3886
1826,221,2023-11-11,定期保養,743
913,257,2023-11-11,故障維修,2492
1804,130,2023-11-13,定期保養,1082
1496,272,2023-11-14,性能檢測,460
957,218,2023-11-16,故障維修,4581
1271,282,2023-11-18,定期保養,724
1402,69,2023-11-19,零件更換,7974
1253,49,2023-11-20,定期保養,1482
1827,16,2023-11-21,零件更換,7539
1031,14,2023-11-22,性能檢測,1479
1235,265,2023-11-22,定期保養,1734
475,220,2023-11-22,定期保養,622
1691,73,2023-11-22,定期保養,806
613,259,2023-11-25,定期保養,1245
1596,237,2023-11-30,清潔消毒,1101
1515,84,2023-12-01,性能檢測,678
968,130,2023-12-01,定期保養,596
242,386,2023-12-02,故障維修,5905
963,106,2023-12-05,故障維修,5431
2179,282,2023-12-05,清潔消毒,826
1742,296,2023-12-06,零件更換,7202
2416,390,2023-12-07,零件更換,7193
2408,95,2023-12-08,故障維修,3900
1396,332,2023-12-09,定期保養,500
1960,317,2023-12-13,定期保養,680
733,272,2023-12-13,故障維修,5592
2168,54,2023-12-13,定期保養,840
42,207,2023-12-14,故障維修,4685
750,257,2023-12-15,定期保養,1495
47,135,2023-12-15,定期保養,1799
883,8,2023-12-16,清潔消毒,1132
2136,359,2023-12-17,定期保養,671
44,367,2023-12-17,故障維修,2662
80,49,2023-12-17,定期保養,1030
1204,141,2023-12-17,故障維修,1687
698,238,2023-12-18,性能檢測,863
310,118,2023-12-18,性能檢測,1236
2022,231,2023-12-19,定期保養,1518
880,95,2023-12-20,定期保養,1298
658,160,2023-12-21,故障維修,4105
1310,326,2023-12-21,定期保養,1216
582,394,2023-12-21,定期保養,787
872,118,2023-12-25,定期保養,788
1587,282,2023-12-26,故障維修,4592
2406,249,2023-12-29,清潔消毒,850
1650,287,2023-12-31,定期保養,926
1221,384,2024-01-01,零件更換,2761
1464,269,2024-01-01,零件更換,7724
837,368,2024-01-05,清潔消毒,373
431,61,2024-01-06,故障維修,1852
357,11,2024-01-10,定期保養,1519
1975,130,2024-01-11,定期保養,847
1460,269,2024-01-14,定期保養,1255
2479,54,2024-01-17,清潔消毒,878
1718,282,2024-01-25,清潔消毒,318
685,374,2024-01-27,定期保養,874
866,231,2024-01-27,故障維修,3005
160,296,2024-01-29,清潔消毒,815
1023,373,2024-01-29,故障維修,5972
2097,237,2024-01-30,故障維修,5683
1954,297,2024-01-30,定期保養,1604
344,186,2024-02-04,定期保養,823
2405,275,2024-02-04,故障維修,1600
168,79,2024-02-05,故障維修,5416
1593,55,2024-02-05,故障維修,1644
2350,4,2024-02-06,故障維修,4004
297,311,2024-02-06,零件更換,7524
540,55,2024-02-08,零件更換,4107
1122,386,2024-02-09,定期保養,583
235,84,2024-02-12,性能檢測,671
1489,171,2024-02-12,故障維修,1507
30,18,2024-02-13,零件更換,2042
971,272,2024-02-14,定期保養,1160
2419,11,2024-02-16,定期保養,1479
1829,321,2024-02-17,定期保養,1677
1238,202,2024-02-20,故障維修,2920
1197,392,2024-02-20,性能檢測,1493
606,196,2024-02-22,定期保養,767
1839,374,2024-02-23,零件更換,4667
1786,360,2024-02-25,故障維修,1767
281,359,2024-02-29,零件更換,5122
583,207,2024-03-01,零件更換,6321
1890,398,2024-03-02,定期保養,1780
1852,326,2024-03-04,清潔消毒,392
2263,359,2024-03-06,零件更換,4500
1507,238,2024-03-07,定期保養,1719
1337,86,2024-03-08,定期保養,927
518,325,2024-03-08,定期保養,824
146,14,2024-03-08,性能檢測,1114
889,42,2024-03-09,清潔消毒,827
3,296,2024-03-09,定期保養,1039
31,249,2024-03-12,故障維修,4849
2027,296,2024-03-12,定期保養,937
1812,309,2024-03-16,定期保養,558
1164,300,2024-03-17,故障維修,3883
2080,312,2024-03-17,性能檢測,747
250,343,2024-03-19,定期保養,1122
462,265,2024-03-19,清潔消毒,1030
1186,378,2024-03-22,零件更換,2419
2422,9,2024-03-24,清潔消毒,647
511,252,2024-03-25,定期保養,1632
879,11,2024-03-25,故障維修,4633
1887,4,2024-03-25,定期保養,841
1370,102,2024-03-28,清潔消毒,1058
993,119,2024-03-28,零件更換,4553
1896,296,2024-03-28,定期保養,1206
964,171,2024-03-30,定期保養,1136
954,368,2024-03-31,清潔消毒,483
2164,337,2024-04-01,零件更換,2784
1676,133,2024-04-02,性能檢測,657
2122,210,2024-04-03,定期保養,1229
902,11,2024-04-04,定期保養,916
2023,378,2024-04-05,性能檢測,620
361,171,2024-04-05,清潔消毒,963
2302,236,2024-04-06,零件更換,5688
1106,73,2024-04-06,故障維修,2972
2181,133,2024-04-07,性能檢測,860
541,386,2024-04-07,定期保養,1398
953,73,2024-04-08,故障維修,4527
1300,287,2024-04-09,定期保養,1512
2425,126,2024-04-09,故障維修,1607
176,73,2024-04-10,性能檢測,977
2028,394,2024-04-10,零件更換,7289
1218,277,2024-04-10,定期保養,1296
1007,281,2024-04-11,定期保養,844
2237,359,2024-04-12,清潔消毒,770
926,9,2024-04-12,定期保養,586
1785,269,2024-04-12,故障維修,4270
2105,318,2024-04-13,定期保養,1198
2392,69,2024-04-14,零件更換,7604
1578,263,2024-04-15,定期保養,500
714,179,2024-04-16,零件更換,6748
946,5,2024-04-16,定期保養,1534
2349,242,2024-04-16,清潔消毒,312
1181,389,2024-04-18,零件更換,6979
1195,18,2024-04-19,零件更換,4392
579,207,2024-04-19,定期保養,824
2298,14,2024-04-19,故障維修,5700
656,55,2024-04-19,清潔消毒,480
446,383,2024-04-20,故障維修,2365
2415,210,2024-04-22,故障維修,2679
790,383,2024-04-23,清潔消毒,870
1065,182,2024-04-23,性能檢測,1127
1624,387,2024-04-23,性能檢測,730
2407,161,2024-04-25,定期保養,1301
1841,165,2024-04-25,定期保養,946
256,230,2024-04-26,零件更換,4396
491,195,2024-04-26,定期保養,756
2498,347,2024-04-29,清潔消毒,458
1964,168,2024-04-30,零件更換,6952
527,179,2024-04-30,定期保養,1536
274,368,2024-05-01,定期保養,968
132,95,2024-05-01,定期保養,722
924,321,2024-05-01,故障維修,3897
1689,249,2024-05-02,定期保養,637
1003,351,2024-05-03,定期保養,1283
236,293,2024-05-04,故障維修,5576
898,360,2024-05-05,定期保養,1138
1616,273,2024-05-06,定期保養,1591
1528,134,2024-05-07,清潔消毒,535
2432,332,2024-05-08,故障維修,5309
177,281,2024-05-08,清潔消毒,1077
369,84,2024-05-09,零件更換,5088
1045,357,2024-05-10,故障維修,5912
1859,337,2024-05-10,故障維修,4196
183,373,2024-05-11,故障維修,3899
1284,4,2024-05-13,零件更換,6833
615,351,2024-05-13,定期保養,815
773,55,2024-05-14,定期保養,1474
1668,375,2024-05-14,故障維修,1928
553,229,2024-05-15,故障維修,4506
1573,297,2024-05-17,故障維修,2555
182,47,2024-05-17,零件更換,7487
1365,296,2024-05-17,清潔消毒,699
631,288,2024-05-19,清潔消毒,447
793,210,2024-05-19,故障維修,5214
711,307,2024-05-19,定期保養,694
990,329,2024-05-20,定期保養,1659
1957,263,2024-05-20,定期保養,1414
535,311,2024-05-25,定期保養,623
1568,40,2024-05-25,故障維修,5159
554,231,2024-05-26,性能檢測,606
1555,98,2024-05-27,零件更換,2493
2465,256,2024-05-27,故障維修,2536
2444,333,2024-05-28,性能檢測,1297
452,230,2024-05-29,定期保養,1596
2377,134,2024-05-31,定期保養,1610
1558,179,2024-05-31,定期保養,1355
710,277,2024-06-01,清潔消毒,771
642,141,2024-06-01,故障維修,5390
2320,179,2024-06-05,定期保養,1270
1047,100,2024-06-06,定期保養,1267
1564,120,2024-06-06,定期保養,525
560,256,2024-06-07,零件更換,6490
994,241,2024-06-07,性能檢測,1079
1499,166,2024-06-07,零件更換,3118
2149,207,2024-06-08,定期保養,1173
739,188,2024-06-10,故障維修,1963
1020,13,2024-06-12,性能檢測,1095
730,69,2024-06-13,性能檢測,1165
639,118,2024-06-13,定期保養,1611
1641,225,2024-06-14,性能檢測,1417
1029,139,2024-06-14,定期保養,1696
653,239,2024-06-16,性能檢測,1400
528,119,2024-06-17,定期保養,1406
1111,326,2024-06-17,定期保養,1670
1888,107,2024-06-17,故障維修,4576
338,287,2024-06-19,定期保養,1487
300,34,2024-06-20,故障維修,3225
800,373,2024-06-20,清潔消毒,540
1850,264,2024-06-20,定期保養,1552
1421,138,2024-06-22,性能檢測,1419
1258,207,2024-06-22,定期保養,1245
1595,294,2024-06-23,性能檢測,1498
910,166,2024-06-24,零件更換,2809
144,131,2024-06-25,定期保養,790
2413,205,2024-06-25,清潔消毒,429
1101,24,2024-06-25,故障維修,1858
1268,204,2024-06-27,定期保養,1366
2393,184,2024-06-28,定期保養,1098
2119,34,2024-06-29,故障維修,1511
654,301,2024-06-30,零件更換,6332
422,318,2024-06-30,故障維修,3678
1084,354,2024-06-30,故障維修,1653
1945,317,2024-06-30,零件更換,5717
1240,79,2024-07-01,零件更換,6628
1354,295,2024-07-01,定期保養,1527
2054,382,2024-07-02,定期保養,1107
515,17,2024-07-03,性能檢測,1080
2281,112,2024-07-03,清潔消毒,1022
2289,205,2024-07-06,性能檢測,1488
1375,107,2024-07-07,清潔消毒,583
436,286,2024-07-08,零件更換,5028
291,11,2024-07-09,零件更換,7821
2065,21,2024-07-09,故障維修,3804
806,297,2024-07-11,故障維修,1951
1808,79,2024-07-11,故障維修,3803
72,86,2024-07-12,定期保養,976
2085,225,2024-07-12,清潔消毒,1036
358,239,2024-07-12,定期保養,1717
744,210,2024-07-13,零件更換,7899
2323,249,2024-07-15,零件更換,2095
1232,99,2024-07-16,故障維修,2327
216,102,2024-07-18,故障維修,2057
2473,367,2024-07-21,性能檢測,926
1710,265,2024-07-22,清潔消毒,1141
362,263,2024-07-25,故障維修,4147
709,112,2024-07-27,故障維修,3522
1038,294,2024-07-28,定期保養,1498
1544,113,2024-07-29,清潔消毒,461
1129,165,2024-07-29,定期保養,838
984,31,2024-07-30,定期保養,1016
360,237,2024-07-31,故障維修,2926
1493,98,2024-07-31,性能檢測,668
1642,337,2024-07-31,故障維修,1727
2192,367,2024-08-01,定期保養,648
426,227,2024-08-02,故障維修,1679
1927,240,2024-08-03,定期保養,1073
218,301,2024-08-04,定期保養,1753
2231,300,2024-08-05,定期保養,797
1912,352,2024-08-06,定期保養,1319
2,384,2024-08-06,故障維修,2282
112,69,2024-08-07,性能檢測,1342
740,165,2024-08-07,故障維修,5718
1146,354,2024-08-08,定期保養,1550
567,172,2024-08-10,清潔消毒,440
1658,133,2024-08-14,定期保養,1519
810,47,2024-08-14,故障維修,4853
353,269,2024-08-14,零件更換,3695
620,302,2024-08-15,故障維修,5356
232,210,2024-08-16,清潔消毒,432
756,318,2024-08-17,定期保養,1156
1492,165,2024-08-18,定期保養,819
2121,323,2024-08-18,故障維修,5176
2117,188,2024-08-19,性能檢測,1441
1981,79,2024-08-19,故障維修,2082
588,55,2024-08-20,定期保養,1213
2331,113,2024-08-20,故障維修,5829
581,196,2024-08-20,定期保養,1303
60,142,2024-08-21,故障維修,3077
2049,227,2024-08-22,零件更換,4815
247,183,2024-08-23,定期保養,1078
2277,300,2024-08-26,故障維修,4676
647,242,2024-08-27,清潔消毒,842
787,239,2024-08-27,故障維修,2000
1296,86,2024-08-29,性能檢測,995
1739,162,2024-09-01,故障維修,5275
378,9,2024-09-01,故障維修,3365
1420,376,2024-09-02,故障維修,2994
1367,290,2024-09-03,零件更換,6975
1815,33,2024-09-03,定期保養,1285
2057,197,2024-09-04,零件更換,7305
1139,204,2024-09-04,定期保養,1002
2374,184,2024-09-05,定期保養,1021
2290,84,2024-09-05,零件更換,6482
2090,167,2024-09-05,定期保養,948
2224,105,2024-09-06,清潔消毒,1160
2102,223,2024-09-06,性能檢測,951
201,263,2024-09-07,清潔消毒,606
226,106,2024-09-07,定期保養,1611
2046,294,2024-09-08,故障維修,4149
1160,11,2024-09-09,定期保養,1711
19,185,2024-09-09,性能檢測,1443
975,11,2024-09-09,故障維修,4487
1725,281,2024-09-10,故障維修,1942
419,274,2024-09-10,故障維修,3300
1675,318,2024-09-11,定期保養,703
1438,287,2024-09-13,清潔消毒,796
1717,24,2024-09-13,定期保養,680
925,183,2024-09-13,零件更換,6482
255,71,2024-09-15,零件更換,6471
495,198,2024-09-16,性能檢測,1208
2147,196,2024-09-16,故障維修,5750
2021,390,2024-09-16,定期保養,1369
2194,231,2024-09-20,性能檢測,1448
1835,325,2024-09-20,定期保養,1067
751,49,2024-09-20,零件更換,3187
343,73,2024-09-21,性能檢測,492
805,183,2024-09-23,定期保養,1352
2336,168,2024-09-24,故障維修,5577
1061,351,2024-09-25,故障維修,3642
1401,69,2024-09-25,故障維修,2037
2128,69,2024-09-26,性能檢測,869
516,11,2024-09-26,定期保養,1294
1771,196,2024-09-27,故障維修,2240
349,165,2024-09-28,定期保養,845
154,206,2024-09-28,定期保養,593
1531,135,2024-09-28,零件更換,7319
1732,257,2024-09-28,定期保養,1452
1409,239,2024-09-29,故障維修,5458
649,318,2024-09-29,故障維修,3559
2007,192,2024-09-30,定期保養,591
1458,275,2024-10-01,定期保養,689
2141,329,2024-10-01,故障維修,5159
2187,350,2024-10-02,定期保養,525
778,293,2024-10-02,故障維修,3216
124,46,2024-10-04,故障維修,4675
52,314,2024-10-04,故障維修,4389
119,359,2024-10-04,定期保養,1797
1144,234,2024-10-05,定期保養,664
822,1,2024-10-05,定期保養,1289
904,239,2024-10-05,零件更換,3471
619,324,2024-10-06,故障維修,2889
1001,79,2024-10-06,定期保養,1452
108,304,2024-10-06,定期保養,1655
1831,394,2024-10-06,性能檢測,672
2053,69,2024-10-09,定期保養,630
536,382,2024-10-10,定期保養,1533
1908,162,2024-10-10,零件更換,6696
989,107,2024-10-10,故障維修,2961
1916,293,2024-10-12,故障維修,4937
2015,223,2024-10-13,故障維修,1779
107,179,2024-10-14,定期保養,938
1547,324,2024-10-15,零件更換,7575
48,218,2024-10-16,故障維修,3439
2152,73,2024-10-17,故障維修,4848
271,325,2024-10-17,定期保養,1546
459,24,2024-10-17,故障維修,2574
208,272,2024-10-20,故障維修,3314
252,169,2024-10-21,故障維修,3148
98,183,2024-10-22,定期保養,1753
2455,238,2024-10-22,定期保養,1406
861,314,2024-10-26,零件更換,7232
1607,27,2024-10-26,故障維修,5527
1277,105,2024-10-27,性能檢測,1297
723,27,2024-10-27,定期保養,1701
1619,230,2024-10-28,性能檢測,1500
771,46,2024-10-28,定期保養,1331
284,40,2024-10-29,故障維修,2120
2436,171,2024-10-30,性能檢測,959
120,225,2024-10-31,零件更換,3293
801,287,2024-11-01,定期保養,916
1948,62,2024-11-02,性能檢測,1238
1999,24,2024-11-08,故障維修,5160
2236,242,2024-11-09,故障維修,1526
1141,331,2024-11-10,定期保養,1321
2162,256,2024-11-10,性能檢測,586
1911,133,2024-11-12,零件更換,6442
640,165,2024-11-13,性能檢測,1112
469,96,2024-11-13,性能檢測,891
2174,343,2024-11-13,故障維修,4610
2420,171,2024-11-13,零件更換,7451
264,218,2024-11-13,零件更換,3666
316,283,2024-11-13,性能檢測,1029
2173,73,2024-11-13,定期保養,1693
2248,333,2024-11-15,定期保養,1783
1200,56,2024-11-15,故障維修,2026
933,395,2024-11-17,定期保養,1132
1242,314,2024-11-18,定期保養,943
513,376,2024-11-19,故障維修,3553
1408,324,2024-11-19,定期保養,1415
1825,263,2024-11-19,性能檢測,1289
1075,396,2024-11-19,故障維修,4648
1648,331,2024-11-20,故障維修,4075
1744,5,2024-11-20,零件更換,3908
1853,346,2024-11-20,定期保養,1340
2424,196,2024-11-21,定期保養,1523
612,321,2024-11-22,性能檢測,889
248,391,2024-11-22,定期保養,509
2423,305,2024-11-22,故障維修,3780
175,264,2024-11-22,定期保養,744
2389,287,2024-11-23,定期保養,1679
1513,386,2024-11-23,定期保養,720
1243,312,2024-11-23,定期保養,1556
1304,225,2024-11-25,故障維修,3867
1267,172,2024-11-25,零件更換,2154
2190,272,2024-11-25,零件更換,7635
1264,195,2024-11-27,定期保養,1297
1102,391,2024-11-27,零件更換,2849
2258,184,2024-11-27,定期保養,1013
555,352,2024-11-28,定期保養,1588
412,384,2024-11-28,故障維修,4013
676,394,2024-11-29,性能檢測,735
2486,394,2024-12-01,性能檢測,874
871,165,2024-12-01,故障維修,2684
635,44,2024-12-01,定期保養,873
334,49,2024-12-02,定期保養,573
1138,207,2024-12-03,零件更換,3100
2276,246,2024-12-03,故障維修,4349
1407,338,2024-12-04,定期保養,915
403,210,2024-12-04,清潔消毒,467
1391,102,2024-12-05,定期保養,1561
2409,396,2024-12-05,零件更換,5371
1978,184,2024-12-05,故障維修,5943
1614,141,2024-12-08,故障維修,4897
415,260,2024-12-08,定期保養,1337
2268,286,2024-12-09,定期保養,630
1820,168,2024-12-09,性能檢測,1298
1695,162,2024-12-10,性能檢測,1300
2026,114,2024-12-11,零件更換,3348
522,167,2024-12-11,零件更換,2986
1530,225,2024-12-11,零件更換,4550
2417,168,2024-12-12,性能檢測,854
1682,392,2024-12-12,定期保養,1523
1956,376,2024-12-13,零件更換,2837
915,229,2024-12-13,故障維修,5870
2256,236,2024-12-14,定期保養,1489
1455,11,2024-12-15,性能檢測,1238
1538,277,2024-12-15,性能檢測,815
549,218,2024-12-15,性能檢測,1397
1027,346,2024-12-16,故障維修,4600
1577,9,2024-12-16,故障維修,5416
1881,280,2024-12-17,清潔消毒,1064
840,260,2024-12-18,定期保養,1063
2384,185,2024-12-19,零件更換,7635
170,241,2024-12-22,性能檢測,487
2370,296,2024-12-22,定期保養,774
1134,95,2024-12-23,性能檢測,1006
1554,357,2024-12-23,定期保養,1032
700,204,2024-12-23,定期保養,878
92,288,2024-12-23,清潔消毒,715
1520,373,2024-12-23,清潔消毒,813
1292,57,2024-12-23,故障維修,4692
1297,69,2024-12-24,零件更換,3137
2410,195,2024-12-25,故障維修,3843
510,295,2024-12-25,性能檢測,1446
1984,205,2024-12-25,定期保養,1744
1818,311,2024-12-27,性能檢測,1308
286,13,2024-12-28,性能檢測,816
561,287,2024-12-29,定期保養,1597
2212,324,2024-12-29,定期保養,1246
2134,220,2024-12-30,性能檢測,1075
1324,95,2024-12-30,清潔消毒,359
472,391,2024-12-30,故障維修,3103
2435,389,2024-12-31,定期保養,1773
